"Ancienneté par an","Distance domicile/travail","Service","Accident travail","Niveau  de  satisfaction","Contrat","Durée hebdo","Salaire mensuel","Variable moyen %","Augmentation","Promotion","Sexe","Tranche age","Salaire","Durée du travail"
22.5,69,"Consultant","Non",60,"CDI",35,9873.5,13,0,0,"F","40-49",11157.055,"Temps plein"
10.8,32,"Consultant","Non",39,"CDI",35,4296.7167,39,0,1,"H","60-69",5972.436213,"Temps plein"
13,68,"RH","Oui",62,"CDI",35,3705.2167,29,1,1,"F","50-59",4779.7295429999995,"Temps plein"
21.7,59,"Consultant","Non",98,"CDI",35,1697.15,17,1,0,"H","50-59",1985.6655,"Temps plein"
3.3,15,"R&D","Oui",81,"CDD",35,2848.3,15,1,0,"H","40-49",3275.545,"Temps plein"
10.5,6,"Commercial","Non",47,"CDI",35,5464.55,34,0,0,"H","50-59",7322.497,"Temps plein"
17.8,56,"Marketing","Oui",34,"CDI",35,9999.3833,27,0,1,"H","40-49",12699.216790999999,"Temps plein"
8.2,43,"RH","Oui",48,"CDI",24,3116.88,37,0,1,"F","60-69",4270.1256,"Temps partiel"
7.5,60,"Marketing","Non",25,"CDI",24,5462.08,39,0,1,"H","30-39",7592.2912,"Temps partiel"
18.9,69,"Compta Finances","Oui",89,"CDI",35,2769.4333,33,0,0,"H","40-49",3683.346289,"Temps plein"
5.9,70,"RH","Oui",7,"CDI",35,5522.1833,9,1,1,"F","60-69",6019.179796999999,"Temps plein"
20.2,53,"Consultant","Non",24,"CDI",35,7308.8167,12,0,1,"F","40-49",8185.874704,"Temps plein"
22.4,64,"Commercial","Non",15,"CDI",24,5895.76,23,1,1,"F","50-59",7251.784799999999,"Temps partiel"
20,8,"R&D","Non",31,"CDI",35,7081.3167,26,0,1,"H","60-69",8922.459042,"Temps plein"
13.1,27,"Commercial","Oui",56,"CDI",35,6195.5833,23,0,1,"H","50-59",7620.567459,"Temps plein"
23.3,9,"Marketing","Non",81,"CDI",35,5517.6333,23,1,1,"H","50-59",6786.688959,"Temps plein"
15.2,31,"R&D","Non",35,"CDI",35,8458.45,1,0,0,"H","40-49",8543.034500000002,"Temps plein"
3.2,15,"Consultant","Oui",60,"CDI",35,2132.4333,18,1,1,"F","50-59",2516.271294,"Temps plein"
25,58,"Consultant","Non",19,"CDI",35,3097.0333,13,0,0,"F","60-69",3499.6476290000005,"Temps plein"
16.3,28,"Compta Finances","Oui",32,"CDI",35,8218.8167,14,0,1,"F","60-69",9369.451038,"Temps plein"
8.4,17,"Consultant","Oui",51,"CDI",35,5388.7167,30,1,0,"F","50-59",7005.3317099999995,"Temps plein"
12.2,28,"Consultant","Oui",45,"CDI",35,1873.0833,27,0,0,"H","50-59",2378.815791,"Temps plein"
15.8,46,"Commercial","Oui",60,"CDI",35,4152.6333,7,1,1,"F","50-59",4443.317631000001,"Temps plein"
5.8,44,"R&D","Oui",8,"CDI",35,9096.9667,21,0,1,"H","60-69",11007.329707000003,"Temps plein"
15.6,65,"Marketing","Oui",64,"CDI",35,7264.8333,31,0,1,"H","60-69",9516.931623,"Temps plein"
5.3,60,"Compta Finances","Oui",12,"CDI",35,2052.05,13,1,1,"F","30-39",2318.8165000000004,"Temps plein"
1.3,43,"Consultant","Oui",6,"CDD",32,2496,21,0,0,"F","50-59",3020.16,"Temps partiel"
9.2,44,"RH","Oui",88,"CDI",35,2767.9167,6,1,0,"H","60-69",2933.9917020000007,"Temps plein"
3.1,13,"RH","Non",65,"CDI",35,3486.8167,19,0,1,"H","30-39",4149.311873,"Temps plein"
10.3,11,"Consultant","Oui",87,"CDI",24,1709.76,10,1,1,"H","50-59",1880.736,"Temps partiel"
6.8,18,"Commercial","Oui",67,"CDI",35,3165.2833,0,0,1,"F","60-69",3165.2833,"Temps plein"
22.8,38,"Marketing","Oui",70,"CDI",35,6002.9667,2,1,1,"H","50-59",6123.026034,"Temps plein"
8.2,13,"Marketing","Oui",22,"CDI",35,2998.45,21,1,1,"H","30-39",3628.1244999999994,"Temps plein"
24,60,"RH","Oui",92,"CDI",35,3508.05,11,0,1,"H","50-59",3893.9355000000005,"Temps plein"
24.4,8,"Consultant","Non",36,"CDI",35,3232.0167,35,0,0,"H","40-49",4363.2225450000005,"Temps plein"
23.7,38,"Consultant","Oui",15,"CDI",28,1851.5467,19,0,1,"H","50-59",2203.340573,"Temps partiel"
15.7,45,"RH","Non",80,"CDI",35,5359.9,4,1,0,"H","60-69",5574.295999999999,"Temps plein"
18.4,64,"Commercial","Non",11,"CDI",35,9069.6667,1,0,0,"H","40-49",9160.363367,"Temps plein"
